통화코드,적용시작일,매매기준율
KRW,2020-03-13,1
USD,2020-03-13,1219
CNY,2020-03-16,172.79
JPY,2020-03-16,1148.14
KRW,2020-03-16,1
USD,2020-03-16,1223
CNY,2020-03-17,176.46
JPY,2020-03-17,1169.33
KRW,2020-03-17,1
USD,2020-03-17,1242
USD,2020-03-18,1244
CNY,2020-03-18,176.95
KRW,2020-03-18,1
JPY,2020-03-18,1159.31
CNY,2020-03-19,178.23
JPY,2020-03-19,1183.49
KRW,2020-03-19,1
USD,2020-03-19,1290
CNY,2020-03-20,177.12
JPY,2020-03-20,1121.18
KRW,2020-03-20,1
USD,2020-03-20,1243
CNY,2020-03-23,176.86
JPY,2020-03-23,1142.11
KRW,2020-03-23,1
USD,2020-03-23,1267
USD,2020-03-24,1254
KRW,2020-03-24,1
CNY,2020-03-24,178.5
JPY,2020-03-24,1129.42
USD,2020-03-25,1230
CNY,2020-03-25,174.72
JPY,2020-03-25,1105.47
KRW,2020-03-25,1
CNY,2020-03-26,172.32
JPY,2020-03-26,1108.41
KRW,2020-03-26,1
USD,2020-03-26,1230
CNY,2020-03-27,171.63
JPY,2020-03-27,1107.2
KRW,2020-03-27,1
USD,2020-03-27,1210
CNY,2020-03-30,170.94
JPY,2020-03-30,1137.05
KRW,2020-03-30,1
USD,2020-03-30,1225
USD,2020-03-31,1220
KRW,2020-03-31,1
JPY,2020-03-31,1128.43
CNY,2020-03-31,172.39
CNY,2020-04-01,172.12
JPY,2020-04-01,1143.15
KRW,2020-04-01,1
USD,2020-04-01,1231
CNY,2020-04-02,174.23
JPY,2020-04-02,1149.76
KRW,2020-04-02,1
USD,2020-04-02,1233
CNY,2020-04-03,173.35
JPY,2020-04-03,1139.05
KRW,2020-04-03,1
USD,2020-04-03,1232
KRW,2020-04-06,1
USD,2020-04-06,1232
JPY,2020-04-06,1134.91
CNY,2020-04-06,174.41
CNY,2020-04-07,172.58
JPY,2020-04-07,1120.88
KRW,2020-04-07,1
USD,2020-04-07,1224
USD,2020-04-08,1219
KRW,2020-04-08,1
JPY,2020-04-08,1121.38
CNY,2020-04-08,172.45
CNY,2020-04-09,171.96
JPY,2020-04-09,1119.32
KRW,2020-04-09,1
USD,2020-04-09,1219
USD,2020-04-10,1210
KRW,2020-04-10,1
CNY,2020-04-10,171.8
JPY,2020-04-10,1114.9
CNY,2020-04-13,172.12
JPY,2020-04-13,1123.88
KRW,2020-04-13,1
USD,2020-04-13,1218
CNY,2020-04-14,172.71
JPY,2020-04-14,1131.02
KRW,2020-04-14,1
USD,2020-04-14,1218
USD,2020-04-16,1229
CNY,2020-04-16,173.33
JPY,2020-04-16,1143.31
KRW,2020-04-16,1
KRW,2020-04-17,1
USD,2020-04-17,1217
CNY,2020-04-17,173.6
JPY,2020-04-17,1126.75
CNY,2020-04-20,171.93
JPY,2020-04-20,1133.88
KRW,2020-04-20,1
USD,2020-04-20,1220
CNY,2020-04-21,172.62
JPY,2020-04-21,1143.44
KRW,2020-04-21,1
USD,2020-04-21,1232
CNY,2020-04-22,174
JPY,2020-04-22,1145.46
KRW,2020-04-22,1
USD,2020-04-22,1234
KRW,2020-04-23,1
USD,2020-04-23,1230
CNY,2020-04-23,174.2
JPY,2020-04-23,1141.37
CNY,2020-04-24,174.63
JPY,2020-04-24,1146.89
KRW,2020-04-24,1
USD,2020-04-24,1234
KRW,2020-04-27,1
USD,2020-04-27,1230
CNY,2020-04-27,174.25
JPY,2020-04-27,1144.88
CNY,2020-04-28,172.45
JPY,2020-04-28,1143.18
KRW,2020-04-28,1
USD,2020-04-28,1226
CNY,2020-04-29,172.9
JPY,2020-04-29,1142.27
KRW,2020-04-29,1
USD,2020-04-29,1220
USD,2020-05-04,1228
KRW,2020-05-04,1
CNY,2020-05-04,173.32
JPY,2020-05-04,1149.54
CNY,2020-05-06,173.32
JPY,2020-05-06,1149.57
KRW,2020-05-06,1
USD,2020-05-06,1224
CNY,2020-05-07,173.13
JPY,2020-05-07,1155.73
KRW,2020-05-07,1
USD,2020-05-07,1226
CNY,2020-05-08,172.22
JPY,2020-05-08,1147.75
KRW,2020-05-08,1
USD,2020-05-08,1220
USD,2020-05-11,1220
KRW,2020-05-11,1
JPY,2020-05-11,1141.84
CNY,2020-05-11,172.46
CNY,2020-05-12,172.42
JPY,2020-05-12,1140.68
KRW,2020-05-12,1
USD,2020-05-12,1228
CNY,2020-05-13,173.24
JPY,2020-05-13,1144.43
KRW,2020-05-13,1
USD,2020-05-13,1227
CNY,2020-05-14,173.01
JPY,2020-05-14,1146.25
KRW,2020-05-14,1
USD,2020-05-14,1227
KRW,2020-05-15,1
USD,2020-05-15,1228
CNY,2020-05-15,173.06
JPY,2020-05-15,1144.83
CNY,2020-05-18,173.61
JPY,2020-05-18,1149.6
KRW,2020-05-18,1
USD,2020-05-18,1233
CNY,2020-05-19,172.31
JPY,2020-05-19,1141.13
KRW,2020-05-19,1
USD,2020-05-19,1225
CNY,2020-05-20,172.7
JPY,2020-05-20,1140.53
KRW,2020-05-20,1
USD,2020-05-20,1230
KRW,2020-05-21,1
USD,2020-05-21,1231
CNY,2020-05-21,172.98
JPY,2020-05-21,1144.21
CNY,2020-05-22,173.29
JPY,2020-05-22,1149.74
KRW,2020-05-22,1
USD,2020-05-22,1237
KRW,2020-05-25,1
USD,2020-05-25,1241
CNY,2020-05-25,174.05
JPY,2020-05-25,1152.54
CNY,2020-05-26,173.75
JPY,2020-05-26,1147.26
KRW,2020-05-26,1
USD,2020-05-26,1236
CNY,2020-05-27,172.53
JPY,2020-05-27,1148.68
KRW,2020-05-27,1
USD,2020-05-27,1235
USD,2020-05-28,1242
KRW,2020-05-28,1
CNY,2020-05-28,172.68
JPY,2020-05-28,1152.61
CNY,2020-05-29,173.24
JPY,2020-05-29,1149.33
KRW,2020-05-29,1
USD,2020-05-29,1238
CNY,2020-06-01,172.48
JPY,2020-06-01,1139.28
KRW,2020-06-01,1
USD,2020-06-01,1227
USD,2020-06-02,1223
CNY,2020-06-02,171.59
JPY,2020-06-02,1137.2
KRW,2020-06-02,1
KRW,2020-06-03,1
USD,2020-06-03,1216
CNY,2020-06-03,171.8
JPY,2020-06-03,1118.93
CNY,2020-06-04,170.89
JPY,2020-06-04,1115.7
KRW,2020-06-04,1
USD,2020-06-04,1216
CNY,2020-06-05,171.17
JPY,2020-06-05,1107.19
KRW,2020-06-05,1
USD,2020-06-05,1209
KRW,2020-06-08,1
USD,2020-06-08,1202
CNY,2020-06-08,169.73
JPY,2020-06-08,1096.17
CNY,2020-06-09,169.13
JPY,2020-06-09,1104.81
KRW,2020-06-09,1
USD,2020-06-09,1198
CNY,2020-06-10,169.42
JPY,2020-06-10,1105.08
KRW,2020-06-10,1
USD,2020-06-10,1191
USD,2020-06-11,1195
CNY,2020-06-11,168.68
JPY,2020-06-11,1117.76
KRW,2020-06-11,1
KRW,2020-06-12,1
USD,2020-06-12,1206
CNY,2020-06-12,170.71
JPY,2020-06-12,1129.27
CNY,2020-06-15,169.98
JPY,2020-06-15,1132.37
KRW,2020-06-15,1
USD,2020-06-15,1216
CNY,2020-06-16,170.51
JPY,2020-06-16,1121.87
KRW,2020-06-16,1
USD,2020-06-16,1205
CNY,2020-06-17,171.03
JPY,2020-06-17,1132.48
KRW,2020-06-17,1
USD,2020-06-17,1216
USD,2020-06-18,1210
KRW,2020-06-18,1
JPY,2020-06-18,1131.05
CNY,2020-06-18,171.62
CNY,2020-06-19,171.11
JPY,2020-06-19,1133.91
KRW,2020-06-19,1
USD,2020-06-19,1213
CNY,2020-06-22,171.38
JPY,2020-06-22,1134.57
KRW,2020-06-22,1
USD,2020-06-22,1212
USD,2020-06-23,1210
CNY,2020-06-23,171.19
JPY,2020-06-23,1131.63
KRW,2020-06-23,1
KRW,2020-06-24,1
USD,2020-06-24,1200
CNY,2020-06-24,171.13
JPY,2020-06-24,1127.34
CNY,2020-06-25,170.39
JPY,2020-06-25,1126.42
KRW,2020-06-25,1
USD,2020-06-25,1206
CNY,2020-06-26,169.82
JPY,2020-06-26,1117.9
KRW,2020-06-26,1
USD,2020-06-26,1198
CNY,2020-06-29,170.1
JPY,2020-06-29,1119.56
KRW,2020-06-29,1
USD,2020-06-29,1200
USD,2020-06-30,1199
KRW,2020-06-30,1
CNY,2020-06-30,169.33
JPY,2020-06-30,1114.47
CNY,2020-07-01,169.7
JPY,2020-07-01,1114.25
KRW,2020-07-01,1
USD,2020-07-01,1203
CNY,2020-07-02,169.99
JPY,2020-07-02,1118.76
KRW,2020-07-02,1
USD,2020-07-02,1202
CNY,2020-07-03,169.67
JPY,2020-07-03,1114.99
KRW,2020-07-03,1
USD,2020-07-03,1199
USD,2020-07-06,1196
KRW,2020-07-06,1
JPY,2020-07-06,1111.83
CNY,2020-07-06,169.82
CNY,2020-07-07,169.84
JPY,2020-07-07,1114.11
KRW,2020-07-07,1
USD,2020-07-07,1196
CNY,2020-07-08,170.66
JPY,2020-07-08,1112.71
KRW,2020-07-08,1
USD,2020-07-08,1197
USD,2020-07-09,1193
CNY,2020-07-09,170.32
JPY,2020-07-09,1111.99
KRW,2020-07-09,1
USD,2020-07-10,1205
KRW,2020-07-10,1
JPY,2020-07-10,1123.86
CNY,2020-07-10,171.15
CNY,2020-07-13,171.53
JPY,2020-07-13,1123.74
KRW,2020-07-13,1
USD,2020-07-13,1201
USD,2020-07-14,1204
CNY,2020-07-14,172.07
JPY,2020-07-14,1122.14
KRW,2020-07-14,1
KRW,2020-07-15,1
USD,2020-07-15,1201
CNY,2020-07-15,171.96
JPY,2020-07-15,1119.5
KRW,2020-07-16,1
USD,2020-07-16,1205
CNY,2020-07-16,171.85
JPY,2020-07-16,1127.27
CNY,2020-07-17,172.41
JPY,2020-07-17,1122.76
KRW,2020-07-17,1
USD,2020-07-17,1205
CNY,2020-07-20,172.19
JPY,2020-07-20,1124.92
KRW,2020-07-20,1
USD,2020-07-20,1204
CNY,2020-07-21,171.97
JPY,2020-07-21,1116.03
KRW,2020-07-21,1
USD,2020-07-21,1197
USD,2020-07-22,1194
KRW,2020-07-22,1
JPY,2020-07-22,1117.61
CNY,2020-07-22,171.05
CNY,2020-07-23,171.14
JPY,2020-07-23,1117.8
KRW,2020-07-23,1
USD,2020-07-23,1198
CNY,2020-07-24,171.62
JPY,2020-07-24,1125.1
KRW,2020-07-24,1
USD,2020-07-24,1202
CNY,2020-07-27,171.16
JPY,2020-07-27,1134.27
KRW,2020-07-27,1
USD,2020-07-27,1197
USD,2020-07-28,1200
KRW,2020-07-28,1
CNY,2020-07-28,170.95
JPY,2020-07-28,1139.11
CNY,2020-07-29,171.41
JPY,2020-07-29,1137.91
KRW,2020-07-29,1
USD,2020-07-29,1196
CNY,2020-07-30,170.25
JPY,2020-07-30,1135.35
KRW,2020-07-30,1
USD,2020-07-30,1192
CNY,2020-07-31,169.79
JPY,2020-07-31,1141.6
KRW,2020-07-31,1
USD,2020-07-31,1190
USD,2020-08-03,1195
KRW,2020-08-03,1
JPY,2020-08-03,1129.81
CNY,2020-08-03,171.33
CNY,2020-08-04,170.9
JPY,2020-08-04,1125.21
KRW,2020-08-04,1
USD,2020-08-04,1193
CNY,2020-08-05,171.08
JPY,2020-08-05,1124.19
KRW,2020-08-05,1
USD,2020-08-05,1189
CNY,2020-08-06,171.13
JPY,2020-08-06,1122.11
KRW,2020-08-06,1
USD,2020-08-06,1185
USD,2020-08-07,1188
KRW,2020-08-07,1
CNY,2020-08-07,170.28
JPY,2020-08-07,1125.96
CNY,2020-08-10,170.64
JPY,2020-08-10,1119.03
KRW,2020-08-10,1
USD,2020-08-10,1185
CNY,2020-08-11,170.5
JPY,2020-08-11,1120.18
KRW,2020-08-11,1
USD,2020-08-11,1187
CNY,2020-08-12,170.74
JPY,2020-08-12,1113.67
KRW,2020-08-12,1
USD,2020-08-12,1186
JPY,2020-08-13,1107.94
USD,2020-08-13,1184
CNY,2020-08-13,170.68
KRW,2020-08-13,1
CNY,2020-08-14,170.63
JPY,2020-08-14,1107.79
KRW,2020-08-14,1
USD,2020-08-14,1185
CNY,2020-08-18,170.78
JPY,2020-08-18,1116.72
KRW,2020-08-18,1
USD,2020-08-18,1184
KRW,2020-08-19,1
CNY,2020-08-19,171.06
JPY,2020-08-19,1123.39
USD,2020-08-19,1184
USD,2020-08-20,1187
KRW,2020-08-20,1
CNY,2020-08-20,170.94
JPY,2020-08-20,1119.55
CNY,2020-08-21,171.35
JPY,2020-08-21,1120.67
KRW,2020-08-21,1
USD,2020-08-21,1185
CNY,2020-08-24,172.27
JPY,2020-08-24,1125.75
KRW,2020-08-24,1
USD,2020-08-24,1192
USD,2020-08-25,1185
CNY,2020-08-25,171.84
JPY,2020-08-25,1118.24
KRW,2020-08-25,1
USD,2020-08-26,1187
KRW,2020-08-26,1
CNY,2020-08-26,171.72
JPY,2020-08-26,1115.86
CNY,2020-08-27,172.09
JPY,2020-08-27,1118.98
KRW,2020-08-27,1
USD,2020-08-27,1185
USD,2020-08-28,1184
CNY,2020-08-28,172.34
JPY,2020-08-28,1111.01
KRW,2020-08-28,1
KRW,2020-08-31,1
USD,2020-08-31,1185
CNY,2020-08-31,172.03
JPY,2020-08-31,1122.9
USD,2020-09-01,1184
KRW,2020-09-01,1
CNY,2020-09-01,173.47
JPY,2020-09-01,1117.98
CNY,2020-09-02,173.7
JPY,2020-09-02,1119.71
KRW,2020-09-02,1
USD,2020-09-02,1186
CNY,2020-09-03,174.03
JPY,2020-09-03,1116.5
KRW,2020-09-03,1
USD,2020-09-03,1186
USD,2020-09-04,1192
KRW,2020-09-04,1
JPY,2020-09-04,1123.52
CNY,2020-09-04,174.1
CNY,2020-09-07,173.63
JPY,2020-09-07,1117.85
KRW,2020-09-07,1
USD,2020-09-07,1188
CNY,2020-09-08,173.93
JPY,2020-09-08,1117.54
KRW,2020-09-08,1
USD,2020-09-08,1188
JPY,2020-09-09,1122.48
KRW,2020-09-09,1
CNY,2020-09-09,173.82
USD,2020-09-09,1190
USD,2020-09-10,1185
KRW,2020-09-10,1
JPY,2020-09-10,1115.87
CNY,2020-09-10,173.42
CNY,2020-09-11,173.83
JPY,2020-09-11,1119.12
KRW,2020-09-11,1
USD,2020-09-11,1188
CNY,2020-09-14,173.83
JPY,2020-09-14,1115.72
KRW,2020-09-14,1
USD,2020-09-14,1184
KRW,2020-09-15,1
USD,2020-09-15,1182
CNY,2020-09-15,173.56
JPY,2020-09-15,1117.89
CNY,2020-09-16,174
JPY,2020-09-16,1115.8
KRW,2020-09-16,1
USD,2020-09-16,1176
CNY,2020-09-17,173.66
JPY,2020-09-17,1120.9
KRW,2020-09-17,1
USD,2020-09-17,1177
USD,2020-09-18,1162
CNY,2020-09-18,172.94
JPY,2020-09-18,1109.68
KRW,2020-09-18,1
KRW,2020-09-21,1
USD,2020-09-21,1161
CNY,2020-09-21,172.11
JPY,2020-09-21,1110.95
CNY,2020-09-22,171.2
JPY,2020-09-22,1112.54
KRW,2020-09-22,1
USD,2020-09-22,1165
CNY,2020-09-23,171.69
JPY,2020-09-23,1108.89
KRW,2020-09-23,1
USD,2020-09-23,1164
CNY,2020-09-24,171.95
JPY,2020-09-24,1111.16
KRW,2020-09-24,1
USD,2020-09-24,1171
USD,2020-09-25,1170
KRW,2020-09-25,1
JPY,2020-09-25,1109.9
CNY,2020-09-25,171.34
CNY,2020-09-28,172.05
JPY,2020-09-28,1111.9
KRW,2020-09-28,1
USD,2020-09-28,1174
CNY,2020-09-29,171.32
JPY,2020-09-29,1109.69
KRW,2020-09-29,1
USD,2020-09-29,1171
USD,2020-10-05,1163
CNY,2020-10-05,171.86
JPY,2020-10-05,1102.32
KRW,2020-10-05,1
KRW,2020-10-06,1
USD,2020-10-06,1161
CNY,2020-10-06,170.38
JPY,2020-10-06,1097.92
CNY,2020-10-07,171.56
JPY,2020-10-07,1099.17
KRW,2020-10-07,1
USD,2020-10-07,1161
CNY,2020-10-08,170.38
JPY,2020-10-08,1091.72
KRW,2020-10-08,1
USD,2020-10-08,1157
CNY,2020-10-12,170.89
JPY,2020-10-12,1086.86
KRW,2020-10-12,1
USD,2020-10-12,1148
USD,2020-10-13,1149
KRW,2020-10-13,1
JPY,2020-10-13,1090.7
CNY,2020-10-13,170.33
CNY,2020-10-14,170.31
JPY,2020-10-14,1085.41
KRW,2020-10-14,1
USD,2020-10-14,1145
CNY,2020-10-15,170.82
JPY,2020-10-15,1086.81
KRW,2020-10-15,1
USD,2020-10-15,1143
CNY,2020-10-16,170.26
JPY,2020-10-16,1086.6
KRW,2020-10-16,1
USD,2020-10-16,1145
USD,2020-10-19,1142
KRW,2020-10-19,1
CNY,2020-10-19,170.51
JPY,2020-10-19,1083.29
CNY,2020-10-20,170.76
JPY,2020-10-20,1081.88
KRW,2020-10-20,1
USD,2020-10-20,1141
CNY,2020-10-21,170.6
JPY,2020-10-21,1075.57
KRW,2020-10-21,1
USD,2020-10-21,1135
USD,2020-10-22,1134
CNY,2020-10-22,170.5
JPY,2020-10-22,1084.18
KRW,2020-10-22,1
USD,2020-10-23,1135
KRW,2020-10-23,1
JPY,2020-10-23,1082.14
CNY,2020-10-23,169.8
CNY,2020-10-26,168.7
JPY,2020-10-26,1077.21
KRW,2020-10-26,1
USD,2020-10-26,1128
USD,2020-10-27,1129
CNY,2020-10-27,168.8
JPY,2020-10-27,1076.62
KRW,2020-10-27,1
JPY,2020-10-28,1080.33
KRW,2020-10-28,1
CNY,2020-10-28,168.37
USD,2020-10-28,1129
USD,2020-10-29,1135
KRW,2020-10-29,1
CNY,2020-10-29,168.68
JPY,2020-10-29,1087.74
CNY,2020-10-30,168.58
JPY,2020-10-30,1086.69
KRW,2020-10-30,1
USD,2020-10-30,1132
CNY,2020-11-02,169.89
JPY,2020-11-02,1086.37
KRW,2020-11-02,1
USD,2020-11-02,1137
USD,2020-11-03,1133
CNY,2020-11-03,169.33
JPY,2020-11-03,1081.67
KRW,2020-11-03,1
USD,2020-11-04,1139
KRW,2020-11-04,1
CNY,2020-11-04,169.37
JPY,2020-11-04,1085.49
CNY,2020-11-05,169.54
JPY,2020-11-05,1079.48
KRW,2020-11-05,1
USD,2020-11-05,1128
KRW,2020-11-06,1
CNY,2020-11-06,169.99
JPY,2020-11-06,1084.03
USD,2020-11-06,1123
USD,2020-11-09,1114
KRW,2020-11-09,1
JPY,2020-11-09,1078.99
CNY,2020-11-09,169.71
CNY,2020-11-10,168.79
JPY,2020-11-10,1063.42
KRW,2020-11-10,1
USD,2020-11-10,1115
CNY,2020-11-11,168.85
JPY,2020-11-11,1057.13
KRW,2020-11-11,1
USD,2020-11-11,1113
KRW,2020-11-12,1
USD,2020-11-12,1112
CNY,2020-11-12,167.7
JPY,2020-11-12,1055.08
CNY,2020-11-13,168.61
JPY,2020-11-13,1061.25
KRW,2020-11-13,1
USD,2020-11-13,1115
CNY,2020-11-16,167.57
JPY,2020-11-16,1057.66
KRW,2020-11-16,1
USD,2020-11-16,1107
USD,2020-11-17,1107
CNY,2020-11-17,168.12
JPY,2020-11-17,1058.77
KRW,2020-11-17,1
KRW,2020-11-18,1
USD,2020-11-18,1106
CNY,2020-11-18,168.69
JPY,2020-11-18,1061.57
JPY,2020-11-19,1074.99
KRW,2020-11-19,1
CNY,2020-11-19,168.9
USD,2020-11-19,1116
JPY,2020-11-20,1073.27
USD,2020-11-20,1114
CNY,2020-11-20,169.22
KRW,2020-11-20,1
CNY,2020-11-23,169.9
JPY,2020-11-23,1069.76
KRW,2020-11-23,1
USD,2020-11-23,1111
CNY,2020-11-24,169.15
JPY,2020-11-24,1062
KRW,2020-11-24,1
USD,2020-11-24,1110
CNY,2020-11-25,168.56
JPY,2020-11-25,1059.08
KRW,2020-11-25,1
USD,2020-11-25,1107
USD,2020-11-26,1106
CNY,2020-11-26,168.12
JPY,2020-11-26,1059.13
KRW,2020-11-26,1
CNY,2020-11-27,168.2
JPY,2020-11-27,1060.96
KRW,2020-11-27,1
USD,2020-11-27,1106
CNY,2020-11-30,168.02
JPY,2020-11-30,1062.14
KRW,2020-11-30,1
USD,2020-11-30,1105
KRW,2020-12-01,1
USD,2020-12-01,1106
CNY,2020-12-01,168.73
JPY,2020-12-01,1059.79
CNY,2020-12-02,168.29
JPY,2020-12-02,1056.42
KRW,2020-12-02,1
USD,2020-12-02,1102
CNY,2020-12-03,167.61
JPY,2020-12-03,1052.98
KRW,2020-12-03,1
USD,2020-12-03,1100
CNY,2020-12-04,166.9
JPY,2020-12-04,1043.76
KRW,2020-12-04,1
USD,2020-12-04,1084
USD,2020-12-07,1084
KRW,2020-12-07,1
CNY,2020-12-07,165.97
JPY,2020-12-07,1040.06
CNY,2020-12-08,166.17
JPY,2020-12-08,1043.22
KRW,2020-12-08,1
USD,2020-12-08,1085
CNY,2020-12-09,166.23
JPY,2020-12-09,1038.69
KRW,2020-12-09,1
USD,2020-12-09,1082
CNY,2020-12-10,166.12
JPY,2020-12-10,1042.34
KRW,2020-12-10,1
USD,2020-12-10,1087
USD,2020-12-11,1092
JPY,2020-12-11,1047.53
CNY,2020-12-11,166.23
KRW,2020-12-11,1
CNY,2020-12-14,166.82
JPY,2020-12-14,1050.05
KRW,2020-12-14,1
USD,2020-12-14,1092
CNY,2020-12-15,166.85
JPY,2020-12-15,1050.71
KRW,2020-12-15,1
USD,2020-12-15,1093
CNY,2020-12-16,166.69
JPY,2020-12-16,1055.22
KRW,2020-12-16,1
USD,2020-12-16,1094
USD,2020-12-17,1094
KRW,2020-12-17,1
CNY,2020-12-17,167.47
JPY,2020-12-17,1057.57
CNY,2020-12-18,167.46
JPY,2020-12-18,1064.73
KRW,2020-12-18,1
USD,2020-12-18,1098
CNY,2020-12-21,168.26
JPY,2020-12-21,1063.88
KRW,2020-12-21,1
USD,2020-12-21,1100
CNY,2020-12-22,168.72
JPY,2020-12-22,1073.21
KRW,2020-12-22,1
USD,2020-12-22,1109
USD,2020-12-23,1110
CNY,2020-12-23,169.65
JPY,2020-12-23,1071.38
KRW,2020-12-23,1
CNY,2020-12-24,169.25
JPY,2020-12-24,1065.03
KRW,2020-12-24,1
USD,2020-12-24,1103
CNY,2020-12-28,168.61
JPY,2020-12-28,1057.1
KRW,2020-12-28,1
USD,2020-12-28,1095
CNY,2020-12-29,167.97
JPY,2020-12-29,1054.36
KRW,2020-12-29,1
USD,2020-12-29,1094
USD,2020-12-30,1088
CNY,2020-12-30,167.21
JPY,2020-12-30,1051.16
KRW,2020-12-30,1
CNY,2020-12-31,166.79
JPY,2020-12-31,1054.26
KRW,2020-12-31,1
USD,2020-12-31,1088
CNY,2021-01-04,167.01
JPY,2021-01-04,1047.99
KRW,2021-01-04,1
USD,2021-01-04,1082
USD,2021-01-05,1087
KRW,2021-01-05,1
CNY,2021-01-05,168.23
JPY,2021-01-05,1053.86
JPY,2021-01-06,1058.37
KRW,2021-01-06,1
USD,2021-01-06,1087
CNY,2021-01-06,168.37
CNY,2021-01-07,168.35
JPY,2021-01-07,1055.64
KRW,2021-01-07,1
USD,2021-01-07,1088
CNY,2021-01-08,168.91
JPY,2021-01-08,1049.89
KRW,2021-01-08,1
USD,2021-01-08,1090
USD,2021-01-11,1097
CNY,2021-01-11,168.8
JPY,2021-01-11,1054.86
KRW,2021-01-11,1
CNY,2021-01-12,169.43
JPY,2021-01-12,1057.53
KRW,2021-01-12,1
USD,2021-01-12,1102
CNY,2021-01-13,169.42
JPY,2021-01-13,1054.96
KRW,2021-01-13,1
USD,2021-01-13,1095
CNY,2021-01-14,169.76
JPY,2021-01-14,1057.14
KRW,2021-01-14,1
USD,2021-01-14,1098
USD,2021-01-15,1096
KRW,2021-01-15,1
CNY,2021-01-15,169.28
JPY,2021-01-15,1055.83
CNY,2021-01-18,170.35
JPY,2021-01-18,1063.23
KRW,2021-01-18,1
USD,2021-01-18,1104
CNY,2021-01-19,170.05
JPY,2021-01-19,1064.76
KRW,2021-01-19,1
USD,2021-01-19,1104
CNY,2021-01-20,170.09
JPY,2021-01-20,1060.69
KRW,2021-01-20,1
USD,2021-01-20,1102
USD,2021-01-21,1098
KRW,2021-01-21,1
CNY,2021-01-21,169.8
JPY,2021-01-21,1060.46
CNY,2021-01-22,170.23
JPY,2021-01-22,1062.9
KRW,2021-01-22,1
USD,2021-01-22,1100
CNY,2021-01-25,170.63
JPY,2021-01-25,1061.5
KRW,2021-01-25,1
USD,2021-01-25,1102
CNY,2021-01-26,170.23
JPY,2021-01-26,1063.08
KRW,2021-01-26,1
USD,2021-01-26,1103
USD,2021-01-27,1106
CNY,2021-01-27,170.46
JPY,2021-01-27,1067.26
KRW,2021-01-27,1
CNY,2021-01-28,171.05
JPY,2021-01-28,1073.06
KRW,2021-01-28,1
USD,2021-01-28,1117
CNY,2021-01-29,172.73
JPY,2021-01-29,1072.52
KRW,2021-01-29,1
USD,2021-01-29,1118
CNY,2021-02-01,173.94
JPY,2021-02-01,1066.9
KRW,2021-02-01,1
USD,2021-02-01,1118
USD,2021-02-02,1114
KRW,2021-02-02,1
CNY,2021-02-02,172.86
JPY,2021-02-02,1061.61
CNY,2021-02-03,172.85
JPY,2021-02-03,1062.6
KRW,2021-02-03,1
USD,2021-02-03,1116
CNY,2021-02-04,172.45
JPY,2021-02-04,1064.61
KRW,2021-02-04,1
USD,2021-02-04,1118
CNY,2021-02-05,173.06
JPY,2021-02-05,1064.65
KRW,2021-02-05,1
USD,2021-02-05,1124
USD,2021-02-08,1118
CNY,2021-02-08,172.89
JPY,2021-02-08,1060.62
KRW,2021-02-08,1
CNY,2021-02-09,173.23
JPY,2021-02-09,1061.53
KRW,2021-02-09,1
USD,2021-02-09,1117
CNY,2021-02-10,172.65
JPY,2021-02-10,1058.62
KRW,2021-02-10,1
USD,2021-02-10,1107
CNY,2021-02-15,170.95
JPY,2021-02-15,1051.68
KRW,2021-02-15,1
USD,2021-02-15,1104
USD,2021-02-16,1103
CNY,2021-02-16,170.8
JPY,2021-02-16,1047.04
KRW,2021-02-16,1
CNY,2021-02-17,171.72
JPY,2021-02-17,1044.21
KRW,2021-02-17,1
USD,2021-02-17,1109
CNY,2021-02-18,171.26
JPY,2021-02-18,1044.63
KRW,2021-02-18,1
USD,2021-02-18,1106
JPY,2021-02-19,1047.45
CNY,2021-02-19,170.62
USD,2021-02-19,1107
KRW,2021-02-19,1
JPY,2021-02-22,1051.78
USD,2021-02-22,1110
CNY,2021-02-22,171.27
KRW,2021-02-22,1
CNY,2021-02-23,172.17
JPY,2021-02-23,1056.19
KRW,2021-02-23,1
USD,2021-02-23,1109
CNY,2021-02-24,171.81
JPY,2021-02-24,1055.63
KRW,2021-02-24,1
USD,2021-02-24,1111
CNY,2021-02-25,171.46
JPY,2021-02-25,1049.05
KRW,2021-02-25,1
USD,2021-02-25,1111
USD,2021-02-26,1124
CNY,2021-02-26,173.52
JPY,2021-02-26,1057.83
KRW,2021-02-26,1
CNY,2021-03-02,172.91
JPY,2021-03-02,1050.81
KRW,2021-03-02,1
USD,2021-03-02,1122
CNY,2021-03-03,173.85
JPY,2021-03-03,1050.36
KRW,2021-03-03,1
USD,2021-03-03,1121
KRW,2021-03-04,1
USD,2021-03-04,1126
CNY,2021-03-04,174.1
JPY,2021-03-04,1051.89
CNY,2021-03-05,174.81
JPY,2021-03-05,1043.57
KRW,2021-03-05,1
USD,2021-03-05,1127
CNY,2021-03-08,173.78
JPY,2021-03-08,1045.44
KRW,2021-03-08,1
USD,2021-03-08,1133
CNY,2021-03-09,175.15
JPY,2021-03-09,1045.43
KRW,2021-03-09,1
USD,2021-03-09,1139
USD,2021-03-10,1143
KRW,2021-03-10,1
CNY,2021-03-10,174.44
JPY,2021-03-10,1052.83
CNY,2021-03-11,174.77
JPY,2021-03-11,1048.55
KRW,2021-03-11,1
